review_id,text_length,word_count,sentence_count,char_count,avg_word_length,punct_count,upper_count,digit_count,stopword_ratio,exclamation_count,question_count,positive_word_count,negative_word_count,neutral_word_count,num_aspects,num_unique_aspects,aspect_diversity,aspect_Chất lượng sản phẩm_count,aspect_Dịch vụ_count,aspect_Khác_count,aspect_Giá cả_count,positive_aspects,negative_aspects,sentiment_ratio,sentiment_balance,first_aspect_position,last_aspect_position,aspect_span_coverage,num_dates_mentioned,mentions_delivery_time,mentions_price,mentions_quantity,num_numbers,max_number,min_number,brand_mentions,adj_count,verb_count,noun_count,avg_sentence_length,sentence_length_std,complex_sentence_ratio,max_word_freq,repeated_words_count,repetition_ratio
325,33.0,8.0,0.0,26.0,3.25,1.0,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.9090909090909091,0.9090909090909091,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0
326,21.0,5.0,0.0,17.0,3.4,0.0,1.0,0.0,0.2,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.9523809523809523,0.9523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0
327,24.0,5.0,0.0,20.0,4.0,0.0,2.0,0.0,0.2,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.7916666666666666,0.7916666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0
328,30.0,6.0,0.0,25.0,4.166666666666667,1.0,1.0,0.0,0.16666666666666666,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.7333333333333333,0.7333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0
329,18.0,5.0,0.0,14.0,2.8,0.0,0.0,0.0,0.4,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0555555555555556,1.0555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0
330,382.0,87.0,4.0,296.0,3.4022988505747125,12.0,5.0,4.0,0.28735632183908044,0.0,0.0,2.0,0.0,1.0,7.0,4.0,0.5714285714285714,3.0,1.0,2.0,1.0,7.0,0.0,1.0,0.0,0.21727748691099477,0.7827225130890052,0.5654450261780105,0.0,1.0,1.0,1.0,4.0,3.0,0.0,1.0,1.0,3.0,2.0,17.4,8.114185110040317,0.6,3.0,10.0,0.2413793103448276
331,699.0,162.0,7.0,538.0,3.3209876543209877,15.0,5.0,7.0,0.35802469135802467,0.0,0.0,3.0,1.0,1.0,5.0,2.0,0.4,4.0,1.0,0.0,0.0,2.0,3.0,-0.2,0.6666666666666666,0.0,0.8783977110157367,0.8783977110157367,0.0,1.0,1.0,1.0,7.0,8.0,1.0,0.0,3.0,3.0,2.0,20.25,13.5069426592401,0.5,6.0,31.0,0.5061728395061729
332,601.0,140.0,5.0,462.0,3.3,13.0,5.0,12.0,0.40714285714285714,0.0,0.0,0.0,0.0,1.0,6.0,3.0,0.5,4.0,0.0,1.0,1.0,3.0,1.0,0.5,0.3333333333333333,0.0,0.653910149750416,0.653910149750416,0.0,0.0,0.0,1.0,6.0,1010.0,2.0,1.0,0.0,0.0,1.0,28.0,15.671630419327785,0.6666666666666666,5.0,27.0,0.4857142857142857
333,354.0,76.0,2.0,279.0,3.6710526315789473,8.0,3.0,0.0,0.2894736842105263,0.0,0.0,3.0,0.0,0.0,7.0,2.0,0.2857142857142857,1.0,6.0,0.0,0.0,7.0,0.0,1.0,0.0,0.16101694915254236,0.7090395480225988,0.5480225988700564,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,38.0,13.0,0.6666666666666666,2.0,6.0,0.15789473684210525
334,286.0,64.0,4.0,223.0,3.484375,6.0,7.0,8.0,0.34375,0.0,0.0,2.0,0.0,0.0,3.0,2.0,0.6666666666666666,2.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0979020979020979,0.7342657342657343,0.6363636363636364,0.0,1.0,0.0,0.0,3.0,281.0,72.0,0.0,1.0,3.0,2.0,12.8,5.3065996645686395,0.4,2.0,7.0,0.21875
335,324.0,71.0,4.0,254.0,3.5774647887323945,7.0,7.0,0.0,0.323943661971831,0.0,0.0,1.0,1.0,1.0,7.0,2.0,0.2857142857142857,5.0,2.0,0.0,0.0,2.0,4.0,-0.3333333333333333,0.5,0.1419753086419753,0.6882716049382716,0.5462962962962963,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,14.2,11.582745788456208,0.2,3.0,6.0,0.18309859154929578
336,258.0,61.0,7.0,198.0,3.2459016393442623,10.0,4.0,6.0,0.4098360655737705,0.0,0.0,1.0,0.0,1.0,5.0,3.0,0.6,3.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.6821705426356589,0.6821705426356589,0.0,1.0,0.0,1.0,4.0,30.0,2.0,1.0,1.0,2.0,2.0,9.666666666666666,3.496029493900505,0.125,3.0,10.0,0.3442622950819672
337,223.0,54.0,2.0,170.0,3.1481481481481484,4.0,3.0,3.0,0.35185185185185186,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.25,4.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.5829596412556054,0.5829596412556054,0.0,0.0,0.0,1.0,2.0,14.0,6.0,0.0,0.0,0.0,0.0,18.0,10.198039027185569,0.6666666666666666,4.0,3.0,0.14814814814814814
338,331.0,75.0,7.0,257.0,3.4266666666666667,10.0,10.0,7.0,0.36,0.0,0.0,2.0,0.0,1.0,4.0,2.0,0.5,2.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,0.13293051359516617,0.622356495468278,0.48942598187311176,0.0,1.0,0.0,0.0,4.0,92.0,5.0,1.0,1.0,2.0,5.0,15.0,10.73312629199899,0.125,3.0,7.0,0.2
